Time,Time from zero,Wear(vol)
1337.400064,15.40000073,0.074952677
1337.500064,15.50000074,0.07500153
1337.600064,15.60000074,0.074978583
1337.700064,15.70000075,0.074947633
1337.800064,15.80000075,0.074947529
1337.900064,15.90000076,0.07487797
1338.000064,16.00000076,0.074774019
1338.100064,16.10000076,0.074783385
1338.200064,16.20000077,0.074958593
1338.300064,16.30000077,0.075234175
1338.400064,16.40000078,0.075393125
1338.500064,16.50000078,0.075318873
1338.600064,16.60000079,0.075268418
1338.700064,16.70000079,0.075104915
1338.800064,16.8000008,0.074886277
1338.900064,16.9000008,0.074833907
1339.000064,17.00000081,0.074850745
1339.100064,17.10000081,0.074903511
1339.200064,17.20000082,0.074972771
1339.300064,17.30000082,0.075055532
1339.400064,17.40000083,0.075231716
1339.500064,17.50000083,0.075425312
1339.600064,17.60000084,0.075469561
1339.700064,17.70000084,0.075484999
1339.800064,17.80000085,0.075304486
1339.900064,17.90000085,0.075142272
1340.000064,18.00000085,0.075223684
1340.100064,18.10000086,0.075407192
1340.200064,18.20000086,0.075367458
1340.300064,18.30000087,0.075326689
1340.400064,18.40000087,0.075508229
1340.500064,18.50000088,0.075689994
1340.600064,18.60000088,0.075736947
1340.700064,18.70000089,0.075748958
1340.800064,18.80000089,0.075743951
1340.900064,18.9000009,0.075817123
1341.000064,19.0000009,0.075774908
1341.100064,19.10000091,0.075689487
1341.200064,19.20000091,0.075658321
1341.300064,19.30000092,0.075550489
1341.400064,19.40000092,0.075507946
1341.500064,19.50000093,0.075618833
1341.600064,19.60000093,0.075667784
1341.700064,19.70000094,0.075619914
1341.800064,19.80000094,0.075628109
1341.900064,19.90000095,0.075689413
1342.000064,20.00000095,0.075736791
1342.100064,20.10000095,0.075795434
1342.200064,20.20000096,0.075870998
1342.300064,20.30000096,0.07589481
1342.400064,20.40000097,0.075837813
1342.500064,20.50000097,0.075801671
1342.600064,20.60000098,0.075826094
1342.700064,20.70000098,0.075876415
1342.800064,20.80000099,0.075934224
1342.900064,20.90000099,0.075830944
1343.000064,21.000001,0.075622357
1343.100064,21.100001,0.07557746
1343.200064,21.20000101,0.07579688
1343.300064,21.30000101,0.07591784
1343.400064,21.40000102,0.075820364
1343.500064,21.50000102,0.075779438
1343.600064,21.60000103,0.075787365
1343.700064,21.70000103,0.075857148
1343.800064,21.80000104,0.07593672
1343.900064,21.90000104,0.075892344
1344.000064,22.00000104,0.075826101
1344.100064,22.10000105,0.075684227
1344.200064,22.20000105,0.075596973
1344.300064,22.30000106,0.075607449
1344.400064,22.40000106,0.075629801
1344.500064,22.50000107,0.075576387
1344.600064,22.60000107,0.07581944
1344.700064,22.70000108,0.076104194
1344.800064,22.80000108,0.076149881
1344.900064,22.90000109,0.076141521
1345.000064,23.00000109,0.076131396
1345.100064,23.1000011,0.076127857
1345.200064,23.2000011,0.076115541
1345.300064,23.30000111,0.07631392
